index,street_name,area,city,price,size,type,date,lat,lng,alt
14,Malmgårdsvägen 12,Södermalm,Stockholm,4430000.0,42.0,Lägenhet,2025-05-30,59.3099101,18.0882363,0.0
15,Renstiernas gata 28,Södermalm,Stockholm,6100000.0,51.0,Lägenhet,2025-05-30,59.31373739999999,18.0843718,0.0
16,Topasgatan 78,Tynnered,Göteborg,2370000.0,95.3,Lägenhet,2025-05-30,57.6497983,11.9056722,0.0
17,Reimersholmsgatan 11,Södermalm,Stockholm,5625000.0,58.5,Lägenhet,2025-05-30,59.31780120000001,18.0243755,0.0
18,Parkvägen 15,Råsunda,Solna,2925000.0,40.0,Lägenhet,2025-05-30,59.36420159999999,17.9929796,0.0
19,Sjöviksvägen 100,Liljeholmskajen,Stockholm,10295000.0,122.0,Lägenhet,2025-05-30,59.30566880000001,18.0341491,0.0
20,Pomonagatan 5,Frösunda,Solna,5600000.0,95.2,Lägenhet,2025-05-30,59.3705061,18.0158384,0.0
21,Jägmästargatan 4,Hjorthagen,Stockholm,10225000.0,98.0,Lägenhet,2025-05-30,59.354192,18.098983,0.0
22,Fylkesvägen 4,Tröingeberg,Falkenberg,2550000.0,268.0,Villa,2025-05-30,56.9119737,12.5292755,0.0
23,Mälgåsen 163,Gällö,Bräcke,1170000.0,66.0,Fritidshus,2025-05-30,62.8470885,15.3172919,0.0
24,Ekensbergsvägen 17,Gröndal,Stockholm,5750000.0,80.0,Lägenhet,2025-05-30,59.31446640000001,17.9905689,0.0
25,Glasbrukskajen 2A,Limhamn,Malmö,2995000.0,52.0,Lägenhet,2025-05-30,55.5934635,12.9316611,0.0
26,Gränsgatan 32,Centrala Vellinge,Vellinge,4300000.0,145.0,Villa,2025-05-30,55.47440690000001,13.0122135,0.0
27,Sivers väg 24,Fjärås,Kungsbacka,6700000.0,160.0,Villa,2025-05-30,57.4641228,12.1684702,0.0
28,Holmstrandsgatan 5,Vättersnäs,Jönköping,2600000.0,83.0,Lägenhet,2025-05-30,57.79204720000001,14.2522511,0.0
29,Lindvallsplan 10,Södermalm,Stockholm,3850000.0,45.0,Lägenhet,2025-05-30,59.3161348,18.0291801,0.0
30,Gnejsvägen 15,Lindome,Mölndal,5070000.0,229.0,Villa,2025-05-30,57.58201049999999,12.0898327,0.0
31,Selmedalsvägen 14,Axelsberg,Stockholm,5125000.0,81.2,Lägenhet,2025-05-30,59.30522240000001,17.9801389,0.0
32,Gamla Norrvägen 13A,Gamla Norr,Växjö,1587500.0,71.0,Lägenhet,2025-05-30,56.88491070000001,14.8163394,0.0
33,Näs 336,Härnösand,,2600000.0,129.0,Villa,2025-05-30,60.45358109999999,14.4967712,0.0
0,Björsaredsvägen 30,Olofstorp,Göteborg,2800000.0,170.0,Villa,2025-05-30,57.7954009,12.1483929,0.0
1,Bergsättravägen 8,Margretelund,Österåker,4995000.0,175.0,Villa,2025-05-30,59.4748019,18.3311283,0.0
2,Sågverksgatan 41,Stureby,Stockholm,8200000.0,120.0,Radhus,2025-05-30,59.2762541,18.0495075,0.0
3,Stenhagsgatan 4D,Våxnäs,Karlstad,725000.0,69.0,Lägenhet,2025-05-30,59.38284179999999,13.4691496,0.0
4,Fjärde Långgatan 45,Linné,Göteborg,3050000.0,59.0,Lägenhet,2025-05-30,57.698562,11.9440178,0.0
5,Ringvägen 3,Ekerö Gällstaö,Ekerö,3940000.0,118.0,Fritidshus,2025-05-30,59.2792903,17.8512552,0.0
6,Hantverksgatan 31A,Centrum,Oskarshamn,750000.0,58.3,Lägenhet,2025-05-30,57.259325,16.4519103,0.0
7,Flamgränd 3,Lindsdal,Kalmar,1995000.0,124.0,Villa,2025-05-30,56.7300437,16.292069,0.0
8,Simrishamnsvägen 21,Björkhagen,Stockholm,5325000.0,69.0,Lägenhet,2025-05-30,59.2897293,18.1179728,0.0
9,Hundbyvägen 26,Hundby,Gnesta,2350000.0,72.0,Fritidshus,2025-05-30,58.98848049999999,17.3527089,0.0
10,Vegagatan 16B,Norrtälje Hamn,Norrtälje,1000000.0,47.3,Lägenhet,2025-05-30,59.7600853,18.7138509,0.0
11,Wormsövägen 4,Enskedefältet,Stockholm,11200000.0,125.0,Villa,2025-05-30,59.28556930000001,18.0647186,0.0
12,Högnäsvägen 4,Näset,Lidingö,4450000.0,80.0,Lägenhet,2025-05-30,59.3716632,18.1485525,0.0
13,Sandviken 6,Färgelanda,,2200000.0,56.0,Fritidshus,2025-05-30,65.76868329999999,19.3917923,0.0
14,Knarrhögsgatan 8B,Mölndal Centrum,Mölndal,2180000.0,53.0,Lägenhet,2025-05-30,57.6582121,12.0130032,0.0
15,Dalkärrsvägen 20,Hårnacka,Norrtälje,6200000.0,243.0,Villa,2025-05-30,59.77530209999999,18.7477118,0.0
16,Rönngatan 25,Hälletorp,Härnösand,1100000.0,158.0,Kedjehus,2025-05-30,62.63499960000001,17.9121783,0.0
17,Magasinsgränd 1,Centrala Linköping,Linköping,3750000.0,108.0,Lägenhet,2025-05-30,58.4103356,15.6295831,0.0
18,Grönviksvägen 21,Nusnäs,Mora,1225000.0,29.0,Fritidshus,2025-05-30,60.9469488,14.6525192,0.0
19,Smörstacksgången 6,Oxie,Malmö,3300000.0,188.0,Villa,2025-05-30,55.5350873,13.0786053,0.0
20,Låssby Äng 34B,Torslanda,Göteborg,7800000.0,215.0,Villa,2025-05-30,57.7445659,11.8297461,0.0
21,Stenbocksgatan 8,Norrmalm,Borås,1610000.0,40.0,Lägenhet,2025-05-30,57.7269452,12.9437181,0.0
22,Kallhällsleden 8B,Kallhäll,Järfälla,1600000.0,43.0,Lägenhet,2025-05-30,59.4531856,17.8075558,0.0
23,Yrkesgatan 46,Skurholmen,Luleå,1195000.0,60.0,Lägenhet,2025-05-30,65.5842423,22.1993618,0.0
24,Lerum Andersvägen 130,Centrum,Lerum,1870000.0,75.0,Lägenhet,2025-05-30,57.7671376,12.2596547,0.0
25,Järnvägsgatan 17,Centrum,Staffanstorp,7500000.0,237.0,Villa,2025-05-30,55.6417205,13.2158183,0.0
26,Kapplandsvägen 6,Bromma,Stockholm,6320000.0,80.0,Lägenhet,2025-05-30,59.33797629999999,17.9393535,0.0
27,Merkurigränd 38,Prästgårdsmarken,Upplands Väsby,1935000.0,64.0,Lägenhet,2025-05-30,59.5069171,17.8875976,0.0
28,Fatburs Brunnsgata 29,Södermalm Maria,Stockholm,7250000.0,79.5,Lägenhet,2025-05-30,59.31378309999999,18.068028,0.0
29,Lövängsgatan 44,Visby,Gotland,2595000.0,81.0,Lägenhet,2025-05-30,57.61854169999999,18.2899015,0.0
30,Borevägen 15C,Surahammar,,305000.0,58.0,Lägenhet,2025-05-30,59.4147066,17.9758815,0.0
31,Riddarvägen 66,Österskär,Österåker,4300000.0,103.0,Radhus,2025-05-30,59.4689447,18.3004514,0.0
32,Högklint Högklintsvägen 35,Visby,Gotland,6910000.0,212.0,Villa,2025-05-30,57.6040114,18.2312841,0.0
33,Klintvägen 47,Vårdsätra,Uppsala,5000000.0,181.0,Villa,2025-05-30,59.794202,17.6194112,0.0
0,Gustavavägen 74,Gustavalund,Ekerö,2990000.0,53.0,Lägenhet,2025-05-30,59.28598779999999,17.8156369,0.0
1,Trävattna Nyarp 2,Floby,Falköping,2000000.0,117.0,Villa,2025-05-30,58.166667,13.266667,0.0
2,Arvesgärde 17,Tuve,Göteborg,2195000.0,91.0,Lägenhet,2025-05-30,57.7511349,11.9240441,0.0
3,Ögonkällvägen 3,Gesunda,Mora,900000.0,94.0,Villa,2025-05-30,60.885755,14.5430733,0.0
4,Stockholmsvägen 11A,Centrum,Norrtälje,2400000.0,67.0,Lägenhet,2025-05-30,59.7555202,18.6984668,0.0
5,Östra Långgatan 34A,Centrum,Sundsvall,1550000.0,69.0,Lägenhet,2025-05-30,62.387819,17.3005424,0.0
6,Blackensvägen 86,Älvsjö,Stockholm,7200000.0,147.0,Villa,2025-05-30,59.2848226,17.9896667,0.0
7,Björkvägen 6,Pålsboda,Hallsberg,1650000.0,298.0,Villa,2025-05-30,59.056573,15.1185055,0.0
8,Kaserngatan 87,Viksäng,Västerås,2000000.0,75.5,Lägenhet,2025-05-30,59.60674299999999,16.5822799,0.0
9,Dammtrappgatan 18,Enskede Gård,Stockholm,12200000.0,223.0,Villa,2025-05-30,59.29229739999999,18.0689812,0.0
10,Mjölnerbacken 71,Rissne,Sundbyberg,2700000.0,73.9,Lägenhet,2025-05-30,59.377875,17.93805,0.0
11,Lokföraregatan 15C,Väster,Lund,2300000.0,60.0,Lägenhet,2025-05-30,55.7099985,13.1811897,0.0
12,Östra Ågatan 101,Kungsängen,Uppsala,5800000.0,116.0,Lägenhet,2025-05-30,59.84784739999999,17.650735,0.0
13,Fagottgränden 1A,Östra Torn,Lund,1550000.0,37.0,Lägenhet,2025-05-30,55.7079858,13.2307374,0.0
14,Furusundsgatan 14,Gärdet,Stockholm,3950000.0,40.0,Lägenhet,2025-05-30,59.3465996,18.0982084,0.0
15,Plåtmyntsgatan 13,Högsbo,Göteborg,1700000.0,29.0,Lägenhet,2025-05-30,57.67408030000001,11.9258956,0.0
16,Gustavsborgsvägen 39,Gustavsborg,Eskilstuna,1150000.0,98.5,Radhus,2025-05-30,59.3894782,16.4210521,0.0
17,Norrbäcksgatan 33,Kroksbäck,Malmö,1285000.0,64.0,Lägenhet,2025-05-30,55.57727500000001,12.9759266,0.0
18,Tivoligatan 5,Nybyholm,Arboga,2250000.0,186.0,Villa,2025-05-30,59.39898119999999,15.8514473,0.0
19,Skogslyckegatan 50,Johannelund,Linköping,1350000.0,54.5,Lägenhet,2025-05-30,58.39183060000001,15.6642002,0.0
20,Jönköpingsvägen 3A,Centrum,Vaggeryd,3000000.0,125.0,Villa,2025-05-30,57.5025739,14.1429337,0.0
21,Axgränd 3,Tannefors,Linköping,1650000.0,54.5,Lägenhet,2025-05-30,58.4120017,15.6372357,0.0
22,Vinterbrinksvägen 53,Saltsjöbaden,Nacka,3000000.0,86.3,Lägenhet,2025-05-30,59.290797,18.2720189,0.0
23,Frötuna 15,Karby Lindbacken,Uppsala,3800000.0,163.0,Villa,2025-05-30,59.90667999999999,17.856241,0.0
24,Nynäsvägen 342A,Enskede,Stockholm,2235000.0,36.0,Lägenhet,2025-05-30,59.2826602,18.0900679,0.0
25,Jakobsbergsvägen 1,Smedby,Kalmar,3350000.0,95.0,Villa,2025-05-30,56.6862429,16.2255331,0.0
